WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,1418752,390592,500096,5888
64,1421877,393984,504896,6720
64,1425002,391456,502623,6880
64,1428127,395136,506591,7872
64,1431252,394688,503456,5920
64,1434377,396384,507648,6752
64,1437502,395424,508032,6016
64,1440627,394656,506976,7392
64,1443752,400512,508704,5696
64,1446877,406400,509152,6560
64,1450002,402144,511744,5728
64,1453127,398880,511648,6816
64,1456252,401088,516096,6176
64,1459377,403552,512480,6752
64,1462502,402208,514848,15424
64,1465627,400896,515456,6848
64,1468752,401024,517536,6144
64,1471877,406208,518304,5408
64,1475002,405152,519040,6080
64,1478127,405984,520864,7328
64,1481252,407936,519872,6752
64,1484377,413280,522080,5536
64,1487502,407552,529088,6144
64,1490627,411040,523711,6144
64,1493752,411104,525216,5760
64,1496877,409952,526400,5728
64,1500002,417792,527136,5312
64,1503127,412576,528544,6464
64,1506252,413184,530016,6464
64,1509377,416576,530784,6048
64,1512502,413216,532768,5696
64,1515627,414336,539808,9024
64,1518752,417088,535584,6496
64,1521877,427360,541888,5248
64,1525002,426848,537920,5888
64,1528127,420704,537632,6944
64,1531252,419968,542368,5216
64,1534377,422048,539648,5920
64,1537502,420384,550304,5632
64,1540627,427360,546816,6912
64,1543752,429920,542080,5664
64,1546877,424864,543072,6336
64,1550002,426016,544640,5696
64,1553127,426656,546016,5856
64,1556252,428864,547328,6240
64,1559377,435872,547680,5792
64,1562502,428256,549984,5600
64,1565627,432928,549152,5920
64,1568752,441280,551264,5376
64,1571877,431648,552000,6688
64,1575002,440960,553760,6752
64,1578127,434400,555808,7104
64,1581252,428576,564768,7424
64,1584377,436064,562080,7264
64,1587502,437728,557696,6496
64,1590627,438176,557984,9632
64,1593752,443744,559872,6752
64,1596877,443936,560960,6816
64,1600002,436640,561536,7200
64,1603127,445312,562048,6880
64,1606252,439616,566080,5984
64,1609377,443040,564032,7168
64,1612502,445952,565696,6880
64,1615627,448352,572032,6080
64,1618752,439616,571616,6304
64,1621877,444128,571840,6592
64,1625002,441120,568704,6144
64,1628127,444768,571968,5632
64,1631252,447232,572288,6848
64,1634377,445632,573120,5408
64,1637502,448160,577632,7136
64,1640627,447840,575776,6240
64,1643752,450624,575616,6528
64,1646877,457760,576928,6208
64,1650002,453312,578432,6688
64,1653127,452192,579808,6336
64,1656252,456288,582272,6784
64,1659377,464096,581632,5920
64,1662502,457600,583008,5888
64,1665627,457408,587168,6528
64,1668752,456000,585056,5824
64,1671877,462144,585792,6464
64,1675002,455616,586080,5408
64,1678127,458016,588416,5888
64,1681252,461824,594560,6784
64,1684377,461216,590304,9632
64,1687502,465792,591552,5696
64,1690627,467712,597600,5920
64,1693752,464704,593536,5888
64,1696877,464736,594048,6816
64,1700002,465472,595488,6848
64,1703127,472576,595584,8159
64,1706252,465696,598464,5440
64,1709377,464416,598336,6496
64,1712502,467904,598752,6528
64,1715627,471040,599840,6144
64,1718752,478912,606400,7648
64,1721877,476640,607904,7168
64,1725002,472096,602784,6400
64,1728127,471424,606016,6592
64,1731252,471456,605088,6912
64,1734377,472096,610272,6592
64,1737502,483040,608192,6080
64,1740627,474592,608224,6272
64,1743752,478752,611072,6208
64,1746877,480384,612288,5632
64,1750002,475680,613152,5440
64,1753127,480480,613760,5920
64,1756252,483424,612960,6592
64,1759377,481056,615872,5152
64,1762502,481088,616544,5536
64,1765627,483968,620800,5568
64,1768752,489664,619488,6560
64,1771877,487392,619200,5696
64,1775002,483456,621472,5920
64,1778127,488960,621984,5632
64,1781252,483616,622592,5568
64,1784377,490432,623552,5344
64,1787502,487552,627936,5920
64,1790627,487040,627616,5824
64,1793752,487424,629664,5664
64,1796877,490016,628704,5824
64,1800002,486912,629728,6208
64,1803127,491584,631584,5536
64,1806252,500000,630912,6464
64,1809377,497952,633376,16000
64,1812502,497344,632768,5568
64,1815627,504256,634912,5984
64,1818752,497408,634464,6176
64,1821877,495776,640384,7168
